SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0143.93.03.00001481;9700.7800;5189.08;3011;253;26/06/2014
0143.93.03.00001483;23794.9900;23749.45;3013;254;27/06/2014
0143.93.03.00001491;32622.6000;32622.9;3019;255;28/08/2014
0143.93.03.00001496;3447.8600;5447.86;3022;256;24/09/2014
0151.93.03.00000156;19558.5400;19560.26;3041;257;01/06/2009
0152.93.03.00000264;36100.6400;18050.32;3078;258;24/03/2011
0152.93.03.00000266;36784.2200;18734.55;3080;259;24/03/2011
0152.93.03.00000292;5619.4000;5619.42;3085;260;04/11/2011
0152.93.03.00000294;62055.7600;17123.99;3087;261;05/04/2012
0152.93.03.00000304;20080.5600;10040.28;3091;262;06/02/2013
0152.93.03.00000309;3676.4100;3676.4;3094;263;05/07/2013
0152.93.03.00000315;4553.6000;2276.8;3098;264;21/01/2014
0152.93.03.00000317;87175.2000;8717.52;3100;265;21/02/2014
0152.93.03.00000319;46682.7800;23341.39;3102;266;16/05/2014
0152.93.03.00000324;11530.5400;5765.27;3104;267;09/07/2014
0152.93.03.00000326;10356.0400;5178.02;3106;268;18/08/2014
0153.81.03.00000063;1000.0000;2000;3116;269;14/05/2012
0153.93.03.00001160;4291.7400;4291.68;3181;270;12/08/2010
0153.93.03.00001197;14428.8500;14428.84;3189;271;29/11/2010
0153.93.03.00001229;7606.2400;6857.64;3197;272;23/03/2011
0153.93.03.00001268;927.8500;5198.83;3207;273;25/04/2011
0153.93.03.00001285;12473.7500;12473.74;3210;274;19/04/2010
0153.93.03.00001321;4172.5200;2980.36;3220;275;12/03/2009
0153.93.03.00001330;31477.1700;3271.17;3222;276;04/05/2011
0153.93.03.00001357;19303.2700;19303.47;3226;277;12/07/2007
0153.93.03.00001399;11895.7100;11895.22;3242;278;22/08/2011
0153.93.03.00001409;6346.9800;6346.97;3246;279;29/08/2011
0153.93.03.00001412;58833.5500;50428.76;3248;280;08/09/2011
0153.93.03.00001418;12020.5000;8170.25;3253;281;12/09/2011
0153.93.03.00001448;9339.8200;7180.31;3262;282;16/01/2012
0153.93.03.00001487;7897.6600;7897.68;3286;283;20/07/2012
0153.93.03.00001498;17439.6200;17439.45;3293;284;06/09/2012
0153.93.03.00001516;3074.0700;3074.03;3300;285;06/09/2012
0153.93.03.00001524;6620.8600;6620.87;3304;286;19/10/2012
0153.93.03.00001551;7319.6900;7319.7;3316;287;27/03/2013
0153.93.03.00001564;4721.2500;6721.25;3325;288;10/05/2013
0153.93.03.00001574;11102.3400;13102.34;3331;289;06/06/2013
0153.93.03.00001577;7785.5800;7785.57;3333;290;10/05/2013
0153.93.03.00001594;4187.1300;2392.64;3346;291;24/09/2013
0153.93.03.00001600;10823.5900;11213.45;3350;292;25/10/2013
0153.93.03.00001609;7321.6400;10982.46;3358;293;31/10/2013
0153.93.03.00001629;6633.5300;8633.53;3373;294;31/01/2014
0153.93.03.00001631;7773.8800;7773.87;3375;295;18/02/2014
0153.93.03.00001634;8425.9300;8425.92;3378;296;18/02/2014
0153.93.03.00001637;5183.2400;3702.34;3381;297;17/03/2014
0153.93.03.00001641;10633.5300;12633.53;3384;298;24/03/2014
0153.93.03.00001653;7768.0300;9768.03;3394;299;09/06/2014
0153.93.03.00001655;11363.5500;11363.56;3396;300;12/06/2014
0153.93.03.00001662;5975.6300;5691.03;3402;301;09/07/2014
0153.93.03.00001666;1037.0400;3047.27;3406;302;15/07/2014
0153.93.03.00001672;5148.1500;7148.15;3412;303;06/08/2014
0153.93.03.00001695;8222.2200;8222.21;3433;304;07/11/2014
0154.93.03.00000165;5197.8600;2598.93;3453;305;25/06/2013
0154.93.03.00000170;2000.3100;2000.3;3456;306;27/12/2013
0135.93.03.00002906;4549.7100;2184.88;3471;307;12/01/2011
0142.93.03.00000331;12263.7900;8759.85;3473;308;13/01/2011
0142.93.03.00000330;22130.7300;22130.69;3477;309;13/01/2011
