SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id;DT_AVISO
0153.93.03.00001629;66.335.300;8633.53;3373;340;31/01/2014
0153.93.03.00001631;77.738.800;7773.87;3375;341;18/02/2014
0153.93.03.00001634;84.259.300;8425.92;3378;342;18/02/2014
0153.93.03.00001637;51.832.400;3702.34;3381;343;17/03/2014
0153.93.03.00001641;106.335.300;12633.53;3384;344;24/03/2014
0153.93.03.00001653;77.680.300;9768.03;3394;345;09/06/2014
0153.93.03.00001655;113.635.500;11363.56;3396;346;12/06/2014
0153.93.03.00001662;59.756.300;5691.03;3402;347;09/07/2014
0153.93.03.00001666;10.370.400;3047.27;3406;348;15/07/2014
0153.93.03.00001672;51.481.500;7148.15;3412;349;06/08/2014
0153.93.03.00001695;82.222.200;8222.21;3433;350;07/11/2014
0154.93.03.00000165;51.978.600;2598.93;3453;351;25/06/2013
0154.93.03.00000170;20.003.100;2000.3;3456;352;27/12/2013
0135.93.03.00002906;45.497.100;2184.88;3471;353;12/01/2011
0142.93.03.00000331;122.637.900;8759.85;3473;354;13/01/2011
0142.93.03.00000330;221.307.300;22130.69;3477;355;13/01/2011
0141.93.03.00002353;35.100.000;1170;3487;356;22/01/2009
0141.93.03.00002355;35.100.000;1170;3489;357;22/01/2009
0135.93.03.00002917;25.516.600;4307.93;3496;358;17/01/2011
0141.93.03.00002357;42.120.000;1404;3499;359;13/03/2009
0135.93.03.00002923;121.184.400;12118.18;3507;360;18/01/2011
0141.93.03.00002363;99.000.000;4950;3511;361;16/11/2009
0141.93.03.00002365;28.080.000;1404;3513;362;06/06/2009
0141.93.03.00002369;23.400.000;1170;3519;363;21/01/2011
0123.93.03.00000551;42.085.800;5611.44;3521;364;26/05/2009
0135.93.03.00002925;44.795.300;4496.1;3523;365;24/01/2011
0135.93.03.00002924;44.902.500;12726.52;3526;366;24/01/2011
0133.93.03.00004031;181.022.000;18101.82;3534;367;24/01/2011
0133.93.03.00004042;146.471.700;6317.74;3538;368;27/01/2011
0141.93.03.00002384;60.000.000;3000;3544;369;10/11/2008
0135.93.03.00002943;335.192.500;60519.25;3551;370;14/02/2011
0125.93.03.00000179;301.116.900;30111.67;3564;371;14/02/2011
0133.93.03.00004093;19.415.200;1941.04;3581;372;25/05/2010
0142.93.03.00000340;40.742.100;3994.29;3605;373;17/02/2011
0126.93.03.00000778;31.705.600;3170.57;3608;374;22/02/2010
0153.93.03.00001162;34.961.000;3496.11;3615;375;10/02/2010
0131.93.03.00000907;15.536.100;1553.6;3618;376;21/02/2011
0141.93.03.00002410;225.636.400;22562.58;3620;377;21/02/2011
0141.93.03.00002412;57.000.000;2850;3622;378;21/02/2011
0133.93.03.00004115;39.535.200;3952.52;3625;379;21/02/2011
0126.93.03.00000806;14.227.600;70664.23;3631;380;21/02/2011
0141.93.03.00002407;48.519.400;4851.92;3633;381;21/02/2011
0133.93.03.00004151;29.688.100;2968.8;3648;382;20/08/2010
0135.93.03.00002993;42.559.400;5014.62;3656;383;21/02/2011
0129.93.03.00000457;479.648.000;35973.6;3664;384;06/04/2010
0133.93.03.00004134;75.962.400;7595.48;3680;385;24/06/2010
0135.93.03.00002992;80.195.900;5113.06;3687;386;21/02/2011
0129.93.03.00000459;36.598.400;2744.88;3695;387;21/02/2011
0135.93.03.00002989;31.929.800;4789.47;3700;388;21/02/2011
0126.93.03.00000798;52.885.000;5289.04;3708;389;21/02/2011
0135.93.03.00002997;45.964.900;4341.13;3714;390;24/06/2010
0141.93.03.00002415;4.600.900;459.31;3718;391;21/02/2011
0126.93.03.00000823;20.000.000;3737.82;3730;392;22/02/2011
0126.93.03.00000824;113.957.800;5697.89;3732;393;22/02/2011
0126.93.03.00000822;62.040.000;3102;3735;394;22/02/2011
0143.93.03.00001097;3.338.200;3338.21;3739;395;22/02/2011
0126.93.03.00000828;118.249.600;4361.11;3742;396;21/10/2010
0153.93.03.00001188;60.955.200;6095.51;3747;397;11/08/2010
0126.93.03.00000821;31.705.600;2853.56;3754;398;15/10/2010
0133.93.03.00004155;41.676.400;4167.67;3761;399;17/09/2010
0153.93.03.00001190;60.925.900;3046.3;3772;400;22/02/2011
0129.93.03.00000466;24.493.200;2449.3;3785;401;22/02/2011
0141.93.03.00002416;25.451.200;2227.27;3789;402;22/02/2011
0143.93.03.00001093;60.165.700;6016.59;3792;403;22/02/2011
0143.93.03.00001100;362.021.100;36201.59;3797;404;23/02/2011
0129.93.03.00000469;65.329.000;8532.9;3803;405;23/02/2011
0133.93.03.00004178;121.413.300;13853.61;3807;406;15/10/2010
0141.93.03.00002432;3.879.100;3879.14;3828;407;25/02/2011
0126.93.03.00000836;111.666.600;4132.37;3833;408;11/11/2010
