SINISTRO;IMPORTANCIA_SEGURADA;vlindeniza;idtitular;id
0126.93.03.00000778;3170.5600;3170.57;3608;408
0153.93.03.00001162;3496.1000;3496.11;3615;409
0131.93.03.00000907;1553.6100;1553.6;3618;410
0141.93.03.00002410;22563.6400;22562.58;3620;411
0141.93.03.00002412;5700.0000;2850;3622;412
0133.93.03.00004115;3953.5200;3952.52;3625;413
0126.93.03.00000806;1422.7600;70664.23;3631;414
0141.93.03.00002407;4851.9400;4851.92;3633;415
0133.93.03.00004151;2968.8100;2968.8;3648;416
0124.93.03.00000453;8851.7800;5650.5;3654;417
0135.93.03.00002993;4255.9400;5014.62;3656;418
0129.93.03.00000457;47964.8000;35973.6;3664;419
0124.93.03.00000451;1039.9600;2079.92;3672;420
0133.93.03.00004134;7596.2400;7595.48;3680;421
0135.93.03.00002992;8019.5900;5113.06;3687;422
0129.93.03.00000459;3659.8400;2744.88;3695;423
0135.93.03.00002989;3192.9800;4789.47;3700;424
0126.93.03.00000798;5288.5000;5289.04;3708;425
0135.93.03.00002997;4596.4900;4341.13;3714;426
0141.93.03.00002415;460.0900;459.31;3718;427
0126.93.03.00000823;2000.0000;3737.82;3730;428
0126.93.03.00000824;11395.7800;5697.89;3732;429
0126.93.03.00000822;6204.0000;3102;3735;430
0143.93.03.00001097;333.8200;3338.21;3739;431
0126.93.03.00000828;11824.9600;4361.11;3742;432
0153.93.03.00001188;6095.5200;6095.51;3747;433
0126.93.03.00000821;3170.5600;2853.56;3754;434
0133.93.03.00004155;4167.6400;4167.67;3761;435
0153.93.03.00001190;6092.5900;3046.3;3772;436
0129.93.03.00000466;2449.3200;2449.3;3785;437
0141.93.03.00002416;2545.1200;2227.27;3789;438
0143.93.03.00001093;6016.5700;6016.59;3792;439
0143.93.03.00001100;36202.1100;36201.59;3797;440
0129.93.03.00000469;6532.9000;8532.9;3803;441
0133.93.03.00004178;12141.3300;13853.61;3807;442
0141.93.03.00002432;387.9100;3879.14;3828;443
0126.93.03.00000836;11166.6600;4132.37;3833;444
0133.93.03.00004208;6942.9400;6942.92;3851;445
0126.93.03.00000844;8264.7400;4132.37;3858;446
0133.93.03.00004212;3879.1400;1939.58;3860;447
0123.93.03.00000593;4643.5000;4643.36;3868;448
0123.93.03.00000594;5214.4200;4809.62;3871;449
0124.93.03.00000468;25542.3800;12771.19;3878;450
0135.93.03.00003057;4598.4400;4598.45;3881;451
0152.93.03.00000258;29895.0500;29892.05;3893;452
0133.93.03.00004237;14545.6700;14544.65;3895;453
0115.93.03.00000396;9188.0200;9189.05;3906;454
0133.93.03.00004239;15856.9100;15856.86;3910;455
0115.93.03.00000398;2221.2500;2220.27;3919;456
0123.93.03.00000603;8753.9300;8753.92;3923;457
0153.93.03.00001218;2386.9400;2386.95;3929;458
0126.93.03.00000866;16529.4800;8264.74;3932;459
0143.93.03.00001124;15551.6600;15551.64;3939;460
0126.93.03.00000858;6399.7400;6399.75;3949;461
0126.93.03.00000856;2385.0500;1790.42;3951;462
0133.93.03.00004267;12926.9900;12560.65;3954;463
0115.93.03.00000406;11362.0600;11362.08;3962;464
0133.93.03.00004288;19168.3700;19168.36;3986;465
0135.93.03.00003096;3155.4300;3155.83;3989;466
0133.93.03.00004303;4063.3500;4063.32;4000;467
0133.93.03.00004301;22813.7000;91254.8;4011;468
0135.93.03.00003100;28262.3900;18785.5;4016;469
0124.93.03.00000477;4241.7200;6241.72;4021;470
0153.93.03.00001238;3083.3400;3083.33;4030;471
0133.93.03.00004333;14231.2300;14431.23;4032;472
0151.93.03.00000148;6992.2000;5593.76;4034;473
0126.93.03.00000883;2254.3900;2254.4;4036;474
0126.93.03.00000885;1650.5800;3301.17;4051;475
0126.93.03.00000888;9466.8600;9466.87;4055;476
0131.93.03.00000960;1787.0700;1882.86;4057;477
0133.93.03.00004355;10736.5900;10736.74;4059;478
0142.93.03.00000378;4375.9100;4375.9;4062;479
0126.93.03.00000894;5200.0000;5200.3;4067;480
0153.93.03.00001249;3468.4800;2312.32;4072;481
0153.93.03.00001256;5043.8600;6787.89;4089;482
0123.93.03.00000617;21693.7400;21699.52;4102;483
0129.93.03.00000495;1632.5500;1638.4;4105;484
